,Unnamed: 0.1,Unnamed: 0,id,title,location,city,price,original_price,discount,m2,hab,floor,air,terrace,storage,elevator,garage,outside,wardrobes,pool,garden,satus,energy,co2,status
0,0,0,105904343,Piso en venta en avenida de Josep Tarradellas,Les Corts,Barcelona,950000.0,950000,0,200.0,4.0,,False,False,True,True,False,True,False,False,False,Buen estado,,,
1,1,1,104919516,Ático en venta en Pedralbes,Les Corts,Barcelona,3650000.0,3650000,0,407.0,4.0,Planta 4ª exterior con ascensor,True,True,False,True,True,True,True,False,False,Buen estado,125,,
2,2,2,105224153,Ático en venta en calle de Beltrán i Rózpide,Pedralbes,Barcelona,760000.0,"
770000 €
",0,97.0,2.0,Planta 10ª exterior con ascensor,True,True,False,True,True,True,False,False,False,Buen estado,,,
3,3,3,102795136,Piso en venta en calle de l'Abadessa Olzet,Pedralbes,Barcelona,2100000.0,2100000,0,280.0,5.0,Bajo exterior con ascensor,True,True,False,True,True,True,True,True,False,Buen estado,,,
4,4,4,102475902, Casa o chalet independiente en venta en Pedralbes,Les Corts,Barcelona,4150000.0,4150000,0,641.0,6.0,,True,False,False,False,True,False,False,True,False,Buen estado,269,,
5,5,5,105491009,Piso en venta en calle de Tòquio,Pedralbes,Barcelona,2000000.0,2000000,0,280.0,5.0,,True,True,False,True,True,True,True,False,False,A reformar,,,
6,6,6,105597542,Piso en venta en calle de l'Alfambra,Pedralbes,Barcelona,1045000.0,"
1125000 €
",0,188.0,4.0,Planta 3ª exterior con ascensor,True,True,False,True,True,True,True,True,False,Buen estado,,,
7,7,7,105568755,Piso en venta en Jardí de Tòquio,Pedralbes,Barcelona,2500000.0,2500000,0,280.0,5.0,Planta 3ª exterior con ascensor,True,True,False,True,True,True,True,False,False,Buen estado,,,
8,8,8,103884608,Piso en venta en calle del Bisbe Català,Pedralbes,Barcelona,2850000.0,2850000,0,421.0,6.0,Planta 2ª exterior con ascensor,True,False,True,True,True,True,True,False,False,Buen estado,,,
9,9,9,105780763,Piso en venta en avenida de Pedralbes,Pedralbes,Barcelona,1550000.0,1550000,0,195.0,4.0,Planta 8ª exterior con ascensor,True,True,True,True,True,True,True,True,False,Buen estado,,,
10,10,10,104704155,Piso en venta en calle de Manuel Ballbè,Pedralbes,Barcelona,1350000.0,1350000,0,274.0,4.0,Planta 4ª exterior con ascensor,True,True,True,True,True,True,True,True,False,Buen estado,107,,
11,11,11,101781007,Piso en venta en avenida Pedralbes,Pedralbes,Barcelona,2900000.0,2900000,0,370.0,4.0,Planta 2ª exterior con ascensor,True,True,False,True,True,True,True,True,False,Buen estado,135,28,
12,12,12,102852721, Chalet adosado en venta en paseo dels Til·lers,Pedralbes,Barcelona,2200000.0,2200000,0,360.0,4.0,,True,True,True,False,True,False,True,False,False,Buen estado,225,46,
13,13,13,104069355,Piso en venta en avenida d'Esplugues,Pedralbes,Barcelona,2900000.0,2900000,0,371.0,6.0,Planta 2ª exterior con ascensor,True,False,False,True,False,True,False,False,False,Buen estado,,,
14,14,14,105462652,Piso en venta en avenida de Pedralbes,Pedralbes,Barcelona,1550000.0,1550000,0,253.0,4.0,Planta 8ª exterior con ascensor,True,True,True,True,True,True,True,True,False,Buen estado,,,
15,15,15,105731123,Piso en venta en travesía de les Corts,La Maternitat i Sant Ramon,Barcelona,360000.0,360000,0,77.0,3.0,Planta 3ª exterior con ascensor,False,False,False,True,False,True,True,False,False,Buen estado,200,42,
16,16,16,104542928,Piso en venta en Les Corts,Les Corts,Barcelona,950000.0,950000,0,200.0,4.0,Planta 2ª exterior con ascensor,False,False,False,True,False,True,False,False,False,A reformar,142,30,
17,17,17,105180403,Piso en venta en Pedralbes,Les Corts,Barcelona,1200000.0,1200000,0,164.0,4.0,Planta 2ª exterior con ascensor,True,True,False,True,False,True,False,True,False,Buen estado,,,
18,18,18,104252384,Piso en venta en calle del Capitán Arenas,Pedralbes,Barcelona,1295000.0,1295000,0,217.0,4.0,,True,True,True,True,True,True,False,False,False,Buen estado,,,
19,19,19,103359267,Piso en venta en calle dels Cavallers,Pedralbes,Barcelona,2600000.0,2600000,0,240.0,4.0,Planta 3ª exterior con ascensor,False,True,False,True,True,True,False,False,False,Buen estado,,,
20,20,20,103251399,Piso en venta en Pedralbes,Les Corts,Barcelona,1350000.0,1350000,0,240.0,4.0,Planta 4ª exterior con ascensor,False,False,False,True,True,True,True,True,False,Buen estado,22,,
21,21,21,103741692,Piso en venta en calle de Sabino Arana,La Maternitat i Sant Ramon,Barcelona,820000.0,"
835000 €
",0,140.0,4.0,Planta 6ª exterior con ascensor,True,True,False,True,False,True,True,False,False,Buen estado,,,
22,22,22,103984196,Piso en venta en calle de Manuel Ballbè,Pedralbes,Barcelona,1350000.0,1350000,0,199.0,4.0,Planta 4ª exterior con ascensor,True,False,True,True,False,True,True,True,False,Buen estado,,,
23,23,23,102875299, Chalet adosado en venta en avenida Mare de Deu de Lorda,Pedralbes,Barcelona,4150000.0,4150000,0,641.0,5.0,,True,True,False,False,True,False,True,True,False,Buen estado,,,
24,24,24,103001441, Casa o chalet independiente en venta en Les Corts,Les Corts,Barcelona,1190000.0,1190000,0,260.0,5.0,,True,True,True,False,False,False,True,False,False,Buen estado,,,
25,25,25,105468210,Piso en venta en avenida Diagonal,Les Corts,Barcelona,1075000.0,1075000,0,225.0,5.0,Planta 2ª exterior con ascensor,False,True,False,True,False,True,True,False,False,A reformar,167,42,
26,26,26,105810150,Piso en venta en Gran Via de Carles III,Les Corts,Barcelona,1195000.0,1195000,0,212.0,5.0,Planta 4ª exterior con ascensor,True,True,True,True,True,True,True,False,False,Buen estado,118,24,
27,27,27,105047668,Ático en venta en calle de Beltrán i Rózpide,Pedralbes,Barcelona,760000.0,"
770000 €
",0,104.0,2.0,Planta 10ª exterior con ascensor,True,False,False,True,True,True,True,False,False,Buen estado,156,26,
28,28,28,105600500,Piso en venta en calle del Marquès de Sentmenat,Les Corts,Barcelona,395000.0,"
410000 €
",0,67.0,1.0,Planta 3ª exterior con ascensor,False,False,False,True,True,True,False,False,False,Buen estado,,,
29,29,29,105455893,Piso en venta en calle del Capitán Arenas,Pedralbes,Barcelona,1200000.0,"
1320000 €
",0,198.0,5.0,Planta 4ª exterior con ascensor,True,True,True,True,True,True,True,False,False,Buen estado,,,
30,30,30,102565682,Piso en venta en avenida de Sarrià,Les Corts,Barcelona,1000000.0,1000000,0,172.0,3.0,Planta 3ª exterior con ascensor,True,True,True,True,False,True,True,False,False,A reformar,,,
31,31,31,104508821,Piso en venta en avenida de Josep Tarradellas,Les Corts,Barcelona,950000.0,950000,0,193.0,4.0,Planta 2ª exterior con ascensor,False,False,False,True,False,True,True,False,False,A reformar,,,
32,32,32,102392679,Piso en venta en calle de González Tablas,Pedralbes,Barcelona,760000.0,760000,0,136.0,4.0,Planta 1ª exterior con ascensor,True,True,False,True,True,True,True,False,False,A reformar,155,27,
33,33,33,103163190,Piso en venta en Les Corts,Les Corts,Barcelona,329000.0,329000,0,78.0,3.0,Planta 1ª exterior con ascensor,False,False,False,True,False,True,False,False,False,A reformar,154,29,
34,34,34,105916673,Piso en venta en travesía de les Corts,Les Corts,Barcelona,595000.0,595000,0,92.0,3.0,Planta 5ª exterior con ascensor,False,False,False,True,True,True,False,False,False,Buen estado,172,35,
35,35,35,100594011, Chalet adosado en venta en Pedralbes,Les Corts,Barcelona,2200000.0,2200000,0,400.0,4.0,,True,True,True,False,True,False,True,False,False,Buen estado,225,46,
36,36,36,105741474,Piso en venta en calle de Novell,Les Corts,Barcelona,400000.0,"
405000 €
",0,60.0,2.0,Planta 3ª exterior con ascensor,True,False,False,True,False,True,True,False,False,Buen estado,100,10,
37,37,37,105650517,Piso en venta en calle del Capitán Arenas,Pedralbes,Barcelona,1200000.0,"
1320000 €
",0,220.0,5.0,Planta 4ª exterior con ascensor,True,True,True,True,True,True,True,False,False,Buen estado,100,10,
38,38,38,105396160,Piso en venta en calle del Regent Mendieta,La Maternitat i Sant Ramon,Barcelona,285000.0,285000,0,71.0,3.0,Planta 1ª interior con ascensor,False,False,False,True,False,False,False,False,False,Buen estado,,,
39,39,39,105750598,Piso en venta en Les Corts,Les Corts,Barcelona,400000.0,"
405000 €
",0,63.0,2.0,Planta 4ª exterior con ascensor,True,True,False,True,False,True,False,False,False,Buen estado,,,
40,40,40,104705775,Piso en venta en avenida de Josep Tarradellas,Les Corts,Barcelona,950000.0,950000,0,214.0,4.0,Planta 2ª exterior con ascensor,False,False,False,True,False,True,False,False,False,A reformar,117,,
