,id,title,location,city,price,original_price,discount,m2,hab,floor,air,terrace,storage,elevator,garage,outside,wardrobes,pool,garden,satus,energy,co2,status
0,104964771,Piso en venta en paseo de Maragall,Vilapicina,i,320000,320000,0,98,4.0,Planta 4ª exterior con ascensor,False,False,False,True,False,True,False,False,False,Buen estado,116,29,
1,105161147,Piso en venta en calle de Felip II,Vilapicina,i,370000,370000,0,77,2.0,Planta 2ª exterior con ascensor,True,False,False,True,False,True,False,False,False,Buen estado,160,33,
2,105584469,Piso en venta en rambla del Caçador,La,"Guineueta,",338000,338000,0,82,3.0,Planta 9ª exterior con ascensor,True,False,False,True,False,True,False,False,False,Buen estado,47,,
3,105477492,Piso en venta en La Prosperitat,Nou,"Barris,",155000,"
189900 €
",0,65,3.0,Planta 1ª exterior con ascensor,False,False,False,True,False,True,False,False,False,Buen estado,,,
4,105820969,Piso en venta en calle de Felip II,Vilapicina,i,370000,370000,0,77,2.0,Planta 2ª exterior con ascensor,True,False,False,True,False,True,False,False,False,Buen estado,160,33,
5,104969068,Piso en venta en Les Roquetes,Nou,"Barris,",275000,275000,0,115,4.0,Planta 3ª exterior sin ascensor,False,True,False,True,False,True,False,False,False,Buen estado,188,33,
6,104608546,Ático en venta en via Júlia,Verdun,Barcelona,178000,"
182000 €
",0,57,2.0,Planta 6ª exterior con ascensor,False,False,False,True,True,True,False,False,False,A reformar,230,48,
7,105774481,Piso en venta en calle de Felip II,Vilapicina,i,370000,370000,0,77,2.0,Planta 1ª exterior con ascensor,True,False,False,True,False,True,True,False,False,Buen estado,33,160,
8,104773068,Piso en venta en paseo de Valldaura,La,"Guineueta,",450000,450000,0,96,3.0,Planta 18ª exterior con ascensor,True,True,False,True,False,True,True,True,False,Buen estado,99,21,
9,105881740,Piso en venta en paseo de Fabra i Puig,Porta,Barcelona,545000,545000,0,120,4.0,Planta 2ª exterior con ascensor,True,True,True,True,True,True,True,False,False,Buen estado,,,
10,105147474,Piso en venta en Les Roquetes,Nou,"Barris,",149900,"
155000 €
",0,53,2.0,Bajo interior sin ascensor,False,True,False,True,False,False,False,False,False,Buen estado,,,
11,104972582,Piso en venta en calle de Marín,Verdun,Barcelona,110000,110000,0,45,2.0,Planta 1ª exterior sin ascensor,False,False,False,True,False,True,False,False,False,A reformar,212,42,
12,105561414,Piso en venta en calle d'Aiguablava,La,Trinitat,220000,220000,0,110,3.0,Planta 4ª exterior con ascensor,False,False,True,True,False,True,False,False,False,Buen estado,,,
13,105918119,Piso en venta en La Prosperitat,Nou,"Barris,",220000,220000,0,90,3.0,,True,True,True,True,True,False,False,False,False,Buen estado,,,
14,105699542,Piso en venta en Ciutat Meridiana - Torre Baró - Vallbona,Nou,"Barris,",130000,130000,0,55,3.0,Planta 3ª exterior sin ascensor,True,False,False,True,False,True,False,False,False,Buen estado,167,35,
15,104873631,Piso en venta en La Trinitat Nova,Nou,"Barris,",156000,156000,0,68,3.0,Planta 1ª exterior con ascensor,True,False,False,True,False,True,False,False,False,Buen estado,142,25,
16,104165893,Piso en venta en La Prosperitat,Nou,"Barris,",299900,299900,0,95,3.0,Planta 1ª exterior con ascensor,False,True,False,True,True,True,True,False,False,Buen estado,,,
17,105730420,Piso en venta en La Prosperitat,Nou,"Barris,",175000,"
185000 €
",0,60,3.0,Planta 3ª exterior con ascensor,True,False,False,True,False,True,False,False,False,Buen estado,,,
18,104855752,Piso en venta en Verdun,Nou,"Barris,",175000,175000,0,58,2.0,Planta 3ª sin ascensor,False,False,False,True,False,False,False,False,False,Buen estado,210,44,
19,104842121,Piso en venta en calle de la Jota,Vilapicina,i,245000,245000,0,89,3.0,Bajo exterior sin ascensor,False,True,False,True,False,True,False,False,False,Buen estado,,,
20,105665059,Piso en venta en La Prosperitat,Nou,"Barris,",219900,219900,0,73,3.0,Planta 3ª exterior con ascensor,False,False,False,True,False,True,False,False,False,Buen estado,,,
21,104925193,Piso en venta en Verdun,Nou,"Barris,",265000,265000,0,86,2.0,Planta 1ª exterior con ascensor,False,False,False,True,False,True,False,False,False,Buen estado,,,
22,104697867,Piso en venta en La Prosperitat,Nou,"Barris,",215000,215000,0,71,3.0,Planta 1ª exterior con ascensor,True,True,False,True,False,True,False,False,False,Buen estado,,,
23,105014132,Piso en venta en calle de Travau,Can,Peguera,187000,187000,0,68,3.0,Planta 3ª con ascensor,False,False,False,True,False,False,False,False,False,Buen estado,,,
24,105413368, Casa o chalet independiente en venta en paseo de Fabra i Puig,Porta,Barcelona,480000,480000,0,206,7.0,,False,True,False,False,False,False,False,False,False,Buen estado,200,78,
25,105917609,Piso en venta en Les Roquetes,Nou,"Barris,",95000,95000,0,60,2.0,Bajo exterior sin ascensor,False,False,False,True,False,True,False,False,False,Buen estado,222,34,
26,104232801,Piso en venta en Verdun,Nou,"Barris,",175000,175000,0,67,2.0,Planta 2ª exterior sin ascensor,True,True,False,True,False,True,False,False,False,Buen estado,140,45,
27,105569625,Piso en venta en calle de l'Escultor Ordóñez,Porta,Barcelona,235000,235000,0,56,3.0,Planta 4ª exterior con ascensor,True,False,False,True,False,True,True,False,False,Buen estado,,,
28,105527087,Piso en venta en calle del Pare Rodés,Verdun,Barcelona,215000,215000,0,78,3.0,Planta 3ª exterior con ascensor,False,False,False,True,False,True,False,False,False,Buen estado,,,
29,105540425,Piso en venta en La Prosperitat,Nou,"Barris,",210000,210000,0,98,4.0,Planta 2ª exterior sin ascensor,False,False,True,True,False,True,False,False,False,Buen estado,,,
30,105337205,Piso en venta en calle de Lorena,La,"Guineueta,",200000,200000,0,87,6.0,Bajo exterior con ascensor,True,False,False,True,False,True,False,True,False,Buen estado,147,47,
31,100535057, Casa o chalet independiente en venta en La Prosperitat,Nou,"Barris,",289000,289000,0,170,5.0,,False,True,False,False,False,False,False,False,False,A reformar,,,
32,105487822,Piso en venta en Vilapicina i la Torre Llobeta,Nou,"Barris,",648000,648000,0,133,4.0,Planta 1ª exterior con ascensor,False,True,True,True,True,True,False,False,False,Buen estado,203,42,
33,105663015,Estudio en venta en Les Roquetes,Nou,"Barris,",38500,38500,0,40,,,False,False,False,True,False,False,False,False,False,A reformar,231,24,
34,105297066,Piso en venta en La Trinitat Nova,Nou,"Barris,",119900,119900,0,43,2.0,Planta 1ª exterior sin ascensor,False,False,False,True,False,True,False,False,False,Buen estado,,,
35,105483730,Piso en venta en calle del Teide,Can,Peguera,99000,99000,0,52,2.0,Bajo exterior sin ascensor,False,False,False,True,False,True,False,False,False,Buen estado,47,,
36,102465964, Chalet pareado en venta en La Prosperitat,Nou,"Barris,",290000,290000,0,140,6.0,,False,True,False,False,False,False,False,False,False,Buen estado,,,
37,104827640,Piso en venta en La Prosperitat,Nou,"Barris,",260000,260000,0,108,3.0,Planta 2ª exterior con ascensor,True,False,False,True,False,True,False,False,False,Buen estado,,,
38,105457542, Casa o chalet independiente en venta en Les Roquetes,Nou,"Barris,",140000,"
150000 €
",0,98,2.0,,False,True,False,False,False,False,False,False,False,Buen estado,29,,
39,105533212,Piso en venta en calle de la Flor de Neu,La,"Prosperitat,",243000,243000,0,90,4.0,Planta 2ª exterior con ascensor,False,False,False,True,False,True,False,False,False,Buen estado,,,
40,105993370,Piso en venta en calle de Felip II,Vilapicina,i,370000,370000,0,77,2.0,Planta 1ª exterior con ascensor,True,False,False,True,False,True,False,False,False,Buen estado,160,33,
41,97187836, Chalet adosado en venta en Les Roquetes,Nou,"Barris,",150000,150000,0,130,4.0,,False,True,False,False,False,False,False,False,False,A reformar,,,
42,105887088,Piso en venta en calle del Castell d'Argençola,Ciutat,Meridiana,115000,115000,0,72,3.0,Planta 3ª exterior sin ascensor,False,False,False,True,False,True,False,False,False,A reformar,,,
43,105707021,Piso en venta en calle de Viladrosa,Verdun,Barcelona,133400,133400,0,61,3.0,,False,False,False,True,False,False,False,False,False,Buen estado,,,
44,105986631,Piso en venta en calle de Joaquim Valls,La,"Prosperitat,",170000,170000,0,52,2.0,Planta 2ª exterior sin ascensor,False,False,False,True,False,True,False,False,False,Buen estado,155,30,
45,103738898,Piso en venta en avenida dels Rasos de Peguera,Ciutat,Meridiana,87000,87000,0,56,3.0,Planta 1ª exterior sin ascensor,False,False,False,True,False,True,False,False,False,Buen estado,,,
46,105929894,Piso en venta en avenida dels Rasos de Peguera,Ciutat,Meridiana,120000,120000,0,57,3.0,Planta 4ª exterior sin ascensor,False,False,False,True,False,True,True,False,False,Buen estado,155,55,
47,104814171,Piso en venta en calle del Pou,La,"Prosperitat,",299900,299900,0,95,3.0,Planta 1ª exterior con ascensor,False,True,False,True,True,True,True,False,False,Buen estado,,,
48,105322385,Piso en venta en paseo de la Ciutat de Mallorca,Porta,Barcelona,285000,285000,0,79,3.0,Planta 2ª exterior con ascensor,False,True,False,True,False,True,True,False,False,Buen estado,202,42,
49,105977240,Piso en venta en calle de Felip II,Vilapicina,i,370000,370000,0,77,2.0,Planta 1ª interior con ascensor,True,False,False,True,False,False,False,False,False,Buen estado,160,33,
50,105966522,Piso en venta en calle de Lorena,La,"Guineueta,",345000,345000,0,87,3.0,Planta 1ª exterior con ascensor,True,True,False,True,False,True,False,True,False,Buen estado,,,
51,105537323,Piso en venta en via Júlia,La,"Prosperitat,",184000,"
189900 €
",0,55,3.0,Planta 1ª exterior con ascensor,False,False,False,True,False,True,False,False,False,Buen estado,45,,
52,104150141,Piso en venta en Engracia,La,"Prosperitat,",160000,160000,0,54,3.0,Planta 4ª exterior sin ascensor,False,False,False,True,False,True,False,False,False,A reformar,,,
53,105681183,Piso en venta en calle de Felip II,Vilapicina,i,370000,370000,0,77,2.0,Planta 1ª exterior con ascensor,True,False,False,True,False,True,False,False,False,Buen estado,160,30,
54,104877782,"Piso en venta en can mariner, 39",Vilapicina,i,240000,240000,0,72,3.0,,False,False,False,True,False,True,True,False,False,Buen estado,136,28,
55,105227146," Casa o chalet independiente en venta en calle del Mas Duran, 23",La,"Prosperitat,",349000,"
369000 €
",0,225,4.0,,False,False,True,False,False,False,False,False,False,A reformar,191,38,
56,105036855,Piso en venta en calle de Travau,Can,Peguera,187000,187000,0,68,3.0,Planta 3ª exterior con ascensor,True,False,False,True,False,True,True,False,False,Buen estado,,,
57,105640151,Piso en venta en rambla del Caçador,La,"Guineueta,",338000,338000,0,82,3.0,Planta 9ª exterior con ascensor,False,True,True,True,False,True,False,False,False,Buen estado,47,,
58,104249584,Piso en venta en calle del Pou,La,"Prosperitat,",85000,85000,0,43,2.0,Bajo sin ascensor,False,False,False,True,False,False,False,False,False,A reformar,,,
59,104898294,"Estudio en venta en calle del Molí, 96",La,"Prosperitat,",126000,126000,0,91,,Bajo exterior sin ascensor,False,False,False,True,False,True,False,False,False,A reformar,,,
60,105842648,Piso en venta en calle de Felip II,Vilapicina,i,370000,370000,0,77,2.0,Planta 1ª exterior con ascensor,True,False,False,True,False,True,False,False,False,Buen estado,160,32,
61,105902332,Piso en venta en calle de Beret,Can,Peguera,169000,169000,0,61,3.0,Planta 2ª exterior con ascensor,False,False,False,True,False,True,False,False,False,A reformar,,,
62,105465626,Piso en venta en calle de Felip II,Vilapicina,i,370000,370000,0,77,2.0,Planta 2ª exterior con ascensor,True,False,False,True,False,True,False,False,False,Buen estado,160,33,
63,105696133,Piso en venta en calle de Felip II,Vilapicina,i,370000,370000,0,77,2.0,Planta 2ª exterior con ascensor,True,False,False,True,False,True,False,False,False,Buen estado,160,33,
64,105250937,Ático en venta en calle de Montmajor,Can,Peguera,414000,414000,0,124,4.0,Planta 6ª exterior con ascensor,False,True,True,True,False,True,True,False,False,Buen estado,46,,
65,104898294,"Estudio en venta en calle del Molí, 96",La,"Prosperitat,",126000,126000,0,91,,Bajo exterior sin ascensor,False,False,False,True,False,True,False,False,False,A reformar,,,
66,104317751,Piso en venta en calle de Pablo Iglesias,La,"Prosperitat,",210000,210000,0,77,3.0,Planta 3ª exterior con ascensor,True,False,True,True,False,True,False,False,False,Buen estado,,,
67,97125149,Dúplex en venta en serrano,Vilapicina,i,375000,375000,0,88,4.0,Bajo exterior con ascensor,True,False,False,True,False,True,True,False,False,Buen estado,,,
68,103300584,Piso en venta en calle de Sabastida,Vilapicina,i,320000,320000,0,120,3.0,Bajo exterior con ascensor,True,True,False,True,False,True,False,False,False,Buen estado,125,,
69,105659360,Piso en venta en calle de Felip II,Vilapicina,i,370000,370000,0,77,2.0,Planta 1ª,False,False,False,False,False,False,False,False,False,Buen estado,,,
70,105940443,Piso en venta en calle de Serrano,Vilapicina,i,376000,376000,0,88,4.0,Bajo exterior con ascensor,True,True,False,True,False,True,True,False,False,Buen estado,,,
71,97477228,"Ático en venta en avenida Meridiana, 603",La,Trinitat,150000,150000,0,80,3.0,Planta 7ª exterior con ascensor,False,False,False,True,False,True,False,False,False,Buen estado,178,37,
72,105940423,Piso en venta en calle de Serrano,Vilapicina,i,396000,396000,0,120,4.0,Bajo exterior con ascensor,True,True,False,True,False,True,True,False,False,Buen estado,,,
73,104515750,Piso en venta en calle del Pou,La,"Prosperitat,",299900,299900,0,95,3.0,Planta 1ª exterior con ascensor,True,True,False,True,True,True,True,False,False,Buen estado,,,
74,104118235,Piso en venta en calle del Pou,La,"Prosperitat,",299900,299900,0,95,3.0,Planta 1ª exterior con ascensor,True,True,False,True,True,True,True,False,False,Buen estado,,,
75,105448854,Piso en venta en calle de Felip II,Vilapicina,i,370000,370000,0,77,2.0,Planta 1ª exterior con ascensor,True,True,False,True,False,True,True,False,False,Buen estado,160,33,
76,105235023,Piso en venta en calle del Pou,La,"Prosperitat,",299900,299900,0,95,3.0,,True,True,False,True,True,True,False,False,False,Buen estado,,,
77,105195816, Chalet pareado en venta en calle de Formentera,La,"Prosperitat,",315000,315000,0,133,2.0,,False,True,True,False,False,False,True,False,False,Buen estado,,,
78,105515102,Piso en venta en calle de la Maladeta,Porta,Barcelona,199500,"
209500 €
",0,65,3.0,Planta 2ª exterior con ascensor,True,False,False,True,False,True,False,False,False,A reformar,,,
79,105615060,Piso en venta en rambla del Caçador,La,"Guineueta,",338000,338000,0,82,3.0,Planta 9ª exterior con ascensor,True,False,True,True,False,True,False,False,False,Buen estado,47,,
80,105082223,Piso en venta en calle de Travau,Can,Peguera,187000,187000,0,68,3.0,Planta 3ª exterior con ascensor,True,False,False,True,False,True,False,False,False,Buen estado,,,
81,105011770,Piso en venta en calle de Travau,Can,Peguera,187000,187000,0,68,3.0,Planta 3ª exterior con ascensor,False,False,False,True,False,True,False,False,False,Buen estado,,,
82,105664561,Piso en venta en calle de Felip II,Vilapicina,i,370000,370000,0,77,2.0,Planta 1ª con ascensor,False,False,False,True,False,False,False,False,False,Buen estado,33,,
83,105059850,Piso en venta en calle de Vidal i Guasch,Les,"Roquetes,",270000,270000,0,130,4.0,Planta 1ª exterior con ascensor,False,True,True,True,False,True,True,False,False,Buen estado,,,
84,105682672,Piso en venta en paseo de Valldaura,Porta,Barcelona,230000,"
245000 €
",0,52,3.0,Planta 3ª exterior con ascensor,True,False,False,True,False,True,False,False,False,Buen estado,188,38,
85,105868474,Piso en venta en calle de l'Artesania,Les,"Roquetes,",157500,157500,0,55,2.0,Planta 1ª exterior sin ascensor,False,False,False,True,False,True,False,False,False,Buen estado,209,44,
86,97192044,Piso en venta en calle del Pla dels Cirerers,Les,"Roquetes,",135000,135000,0,53,2.0,Planta 1ª interior sin ascensor,False,False,False,True,False,False,False,False,False,Buen estado,,,
