,id
0,102772221
1,101689754
2,105043094
3,101146263
4,105075436
5,103930029
6,103737611
7,104578936
8,104272938
9,105692863
10,105570150
11,103408697
12,104429949
13,105171258
14,100287105
15,103518139
16,99305839
17,101708306
18,99428620
19,105088801
20,104773440
21,105823939
22,105062780
23,103194014
24,105236877
25,99933765
26,104631874
27,100732351
28,102028812
29,105627785
30,98140444
31,100587294
32,104757452
33,105488312
34,105449524
35,104644553
36,105221112
37,105500963
38,105570427
39,101183700
40,105109195
41,104310049
42,104249392
43,104224446
44,99088226
45,105473433
46,105553722
47,104348175
48,105340672
49,105136724
50,101592792
51,104828852
52,105570352
53,105202481
54,105851705
55,104965887
56,104518834
57,106033881
58,105736710
59,102569515
60,102569515
61,104531546
62,105924996
63,104375718
64,104865699
65,95206410
66,105627252
67,104957383
68,105422641
69,104177988
70,105569913
71,105224552
72,105164606
73,105553826
74,105331892
75,105913495
76,103598137
77,102256338
78,98491349
79,105370948
80,105822311
81,101941647
82,105435068
83,105594551
84,105007902
85,104876971
86,102145729
87,103855326
88,85723149
89,105909819
90,102207853
91,105538331
92,99966708
93,105423649
94,105683076
95,94915382
96,105462512
97,104046300
98,105672649
99,105701066
100,102913758
101,104797481
102,104526170
103,104224197
104,105497973
105,104332220
106,105410182
107,104513748
108,105739439
109,105355855
110,104614227
111,104587163
112,88777476
113,105642023
114,104252254
115,105353629
116,104985304
117,105846515
118,101159919
119,104605314
120,98092202
121,104923122
122,104633642
123,104994611
124,84087248
125,105750688
126,104923195
127,104973737
128,104771944
129,105693850
130,105168573
131,104706723
132,105635832
133,103673621
134,105600750
135,104150679
136,102989907
137,105202387
138,104073363
139,102684456
140,103867134
141,104987444
142,104983849
143,105456593
144,105476942
145,105398720
146,105353680
147,105911748
148,105902245
149,105647464
150,105902245
151,105079102
152,105866491
153,105033938
154,105870897
155,105469059
156,105391927
157,101675966
158,105340798
159,102161996
160,104400956
161,105121609
162,105392524
163,85648342
164,105245854
165,103583674
166,106004460
167,105770457
168,104879753
169,105673060
170,105514595
171,105671323
172,99171470
173,100187879
174,105995049
175,106004488
176,105991260
177,105744717
178,106006891
179,104514229
180,105475324
181,106025051
182,105311793
183,104251644
184,105567919
185,99257341
186,103227574
187,102267096
188,105061414
189,105463544
190,101300670
191,104772587
192,99507426
193,105080866
194,99507402
195,105058690
196,104923164
197,99507403
198,103858311
199,104978151
200,105015864
201,104675394
202,105322334
203,104678124
204,105188074
205,104166840
206,105988515
207,105007179
208,104353953
209,105522424
210,105941445
211,105971083
212,105853518
213,105853536
214,105930161
215,105968518
216,105821770
217,104435107
218,105710439
219,104715484
220,105329064
221,105073944
222,102091338
223,104815351
224,101591613
225,104970463
226,105474129
227,104727973
228,101481699
229,102611591
230,105028165
231,105298789
232,101506601
233,99171175
234,100917619
235,97391680
236,101611397
237,101263848
238,104847949
239,105268458
240,104090044
241,104794519
242,105109977
243,104077396
244,104136837
245,105532955
246,104540570
247,104965325
248,104767035
249,104450797
250,106017439
251,100396749
252,104587184
253,104850790
254,105731294
255,97028172
256,105728640
257,105410190
258,105570234
259,105244065
260,104447916
261,103779521
262,105473212
263,104975336
264,105491838
265,105097024
266,105192611
267,105622042
268,105162399
269,104631346
270,104965325
271,105410190
272,105570234
273,104090044
274,104249426
275,104136837
276,104837778
277,104562714
278,89048108
279,105727463
280,101811965
281,104942041
282,105200819
283,104426917
284,105526065
285,105033708
286,105971084
287,98970605
288,105355523
289,104201568
290,104815477
291,104969871
292,105259373
293,105867189
294,105410192
295,104811035
296,105716638
297,104803863
298,102718962
299,99377679
300,104811035
301,104517825
302,104803863
303,106015626
304,105560786
305,103347477
306,103786676
307,104976849
308,105750070
309,104851270
310,104850823
311,104018512
312,104210341
313,105447899
314,103048985
315,105993817
316,104086197
317,105994029
318,102568305
319,105107358
320,105983472
321,105641459
322,105042758
323,100889699
324,105043993
325,101217855
326,104851074
327,105626283
328,101217870
329,102699092
330,105043993
331,105627809
332,105050469
333,96244113
334,101010221
335,103247286
336,105242060
337,105136722
338,105355426
339,105137267
340,105012376
341,105626814
342,105739199
343,105650120
344,105090787
345,106006715
346,104712507
347,106013952
348,105220608
349,105418458
350,104635385
351,105048888
352,104252014
353,104387792
354,105772872
355,105876772
356,105334398
357,105882084
358,105180319
359,105409745
360,105399874
361,105594977
362,90959285
363,105928770
364,103685647
365,105993476
366,105635808
367,105467870
368,105857247
369,105218073
370,105964721
371,105536064
372,104907466
373,105725783
374,105885956
375,105298270
376,105842340
377,105655662
378,105943468
379,98723814
380,105065568
381,105136739
382,105359871
383,105327033
384,105780576
385,105864802
386,105963839
387,105937346
388,105850855
389,105812350
390,105850855
391,105694899
392,101617831
393,102073003
394,103776794
395,104609059
396,105629202
397,104983915
398,105663142
399,105337933
400,103806496
401,105385510
402,101766918
403,104864451
404,102035171
405,105473133
406,105829770
407,104703350
408,101766917
409,104202260
410,104181753
411,105398788
412,105584488
413,105223751
414,104304888
415,104819251
416,105097105
417,105898576
418,103423710
419,105094602
420,103423710
421,104853152
422,103445578
423,105500630
424,105990430
425,105645228
426,105822119
427,103430949
428,105913281
429,105365346
430,103864220
431,105545524
432,105680547
433,104806709
434,100976717
435,105836855
436,97262871
437,104641094
438,105936871
439,105370291
440,105340878
441,105449119
442,103876471
443,102072921
444,102073042
445,105548592
446,105969063
447,102072746
448,104623491
449,105859540
450,105592689
451,105678683
452,104967353
453,104866857
454,104803960
455,103445425
456,104863404
457,104989328
458,105445310
459,103922147
460,105914165
461,97671478
462,105874957
463,104505211
464,105921883
465,105324879
466,105515185
467,105748023
468,104101684
469,105505504
470,104448259
471,105892761
472,105844504
473,105062281
474,105077381
475,105567152
476,102072922
477,105642874
478,105433418
479,105697797
480,105597613
481,102835560
482,105661630
483,105626053
484,104835553
485,103738620
486,105511135
487,104313786
488,105324742
489,104320830
490,105191212
491,105299291
492,101731981
493,105622188
494,101518023
495,103805105
496,103337544
497,105878458
498,106020928
499,101541734
500,100575828
501,102816916
502,104989774
503,101872566
504,104205457
505,104313133
506,104606198
507,106024929
508,105151625
509,104513445
510,103490003
511,105700771
512,105502571
513,100756616
514,103859092
515,105408249
516,105158914
517,103858485
518,106031518
519,105997941
520,106010724
521,106026037
522,106034380
523,106030835
524,106024327
525,106015094
526,95269529
527,104038296
528,105593267
529,105904386
530,105875496
531,105902171
532,105926431
533,105796464
534,100789141
535,106027344
536,100686077
537,99307840
538,99171938
539,99171919
540,97255827
541,98268942
542,99214893
543,103163310
544,103500089
545,101602130
546,94911838
547,103783023
548,105979027
549,98146828
550,100464424
551,98569619
552,103936063
553,103923443
554,102698188
555,95286671
556,99493230
557,104751759
558,104165436
559,106025208
560,104818041
561,106013906
562,105177553
563,105112072
564,105893584
565,106023720
566,105893627
567,105893582
568,105893594
569,102423432
570,105365357
571,103450702
572,103450549
573,101751141
574,100208061
575,101718448
576,100208025
577,101327556
578,99197470
579,101685625
580,105650302
581,103163300
582,101327534
583,100208068
584,100208062
585,101327557
586,102226721
587,103163283
588,100678818
589,99197469
590,100866183
591,98133833
592,101994709
593,104564576
594,40348404
595,99936317
596,101718422
597,104884672
598,101697460
599,98908545
600,104884672
601,98908545
602,99936317
603,105336804
604,101685674
605,101685644
606,105891273
607,104573436
608,103315125
609,103923789
610,105990339
611,105076849
612,105992931
613,105230971
614,105992803
615,104669372
616,102034198
617,105549668
618,106020118
619,104692637
620,104692410
621,106014187
622,105043046
623,100493161
624,105043049
625,98269380
626,105043027
627,104080831
628,105570403
629,105501122
630,105570403
631,104080831
632,103697199
633,105281248
634,103884625
635,102406511
636,104691629
637,104691588
638,104712492
639,99337231
640,104691626
641,92516308
642,105436598
643,106011034
644,105728537
645,97399479
646,97399480
647,97399443
648,102374522
649,106004656
650,103450590
651,105322631
652,103726359
653,105128109
654,105426616
655,97508293
656,104687080
657,105315498
658,105251535
659,105245096
660,105245096
661,105463756
662,90405207
663,105542760
664,103562428
665,105542783
666,105382634
667,105044420
668,105259128
669,105686185
670,105691707
671,105822716
672,106016911
673,104813625
674,105902314
675,103811216
676,104911362
677,104918987
678,105561320
679,104638275
680,105431785
681,105590863
682,105282655
683,105913432
684,105990526
685,91144234
686,103663707
687,105924168
688,99991704
689,105869957
690,99991704
691,81669178
692,105227160
693,104735853
694,105928127
695,105365825
696,105371841
697,105369010
698,105995750
699,87754023
700,105988715
701,105110013
702,105962177
703,105922504
704,104446628
705,104583051
706,105996052
707,103332502
708,96682766
709,104741887
710,105425629
711,105360087
712,106002500
713,105879672
714,104633055
715,102444211
716,98032842
717,105567255
718,105890846
719,105259674
720,105326445
721,102166770
722,97148797
723,105259674
724,105266891
725,103208721
726,105880690
727,105187868
728,105300626
729,104882482
730,104865952
731,105260701
732,102166605
733,105101296
734,105890846
735,105305458
736,104623808
737,105464146
738,105902329
739,105259350
740,105304288
741,105305212
742,104660961
743,104909624
744,105627053
745,103924042
746,101476814
747,105871016
748,105400432
749,97435259
750,105323061
751,101576894
752,101476814
753,103924042
754,101512281
755,102022908
756,104367269
757,106026858
758,105613740
759,97435259
760,105612880
761,105006412
762,105224569
763,105380933
764,104592432
765,105871016
766,105600255
767,105421658
768,103271162
769,103373974
770,103802171
771,104568670
772,105869174
773,105930793
774,105141354
775,106007412
776,91929350
777,104867153
778,105999142
779,105379104
780,104869444
781,105705051
782,106007412
783,105999142
784,105628826
