,id
0,104224046
1,102455492
2,104661840
3,97362092
4,103500090
5,103516955
6,105706122
7,105334643
8,105993560
9,102492657
10,101913750
11,101323426
12,105642831
13,89745843
14,103904751
15,105797600
16,88318137
17,102912353
18,104595313
19,102689885
20,105116389
21,103432919
22,105551632
23,101604271
24,102270661
25,104330245
26,81877625
27,104412222
28,105492176
29,104883797
30,85302646
31,103364057
32,101004084
33,105670099
34,101990029
35,105591040
36,101404883
37,104962281
38,103922963
39,103561537
40,103471503
41,105635942
42,100947336
43,105611053
44,101725760
45,106079145
46,105436269
47,105533663
48,106085871
49,105925739
50,104395845
51,105684271
52,98269028
53,102864107
54,105458558
55,100249882
56,105297687
57,102548225
58,92808556
59,105464393
60,102791310
61,105658378
62,105486862
63,105180956
64,105374050
65,98632406
66,105881498
67,105288505
68,105812413
69,103752435
70,104572360
71,101142517
72,106064108
73,105568078
74,104254777
75,105309989
76,105005289
77,105913962
78,105931237
79,104752554
80,105904179
81,105874514
82,105582931
83,104331461
84,106040702
85,106030716
86,103195612
87,105798875
88,105515125
89,104271713
90,105579259
91,105470567
92,105997465
93,105712840
94,95356083
95,105979740
96,105707982
97,105944348
98,105478948
99,105034524
100,105479187
101,106045587
102,105917625
103,104900541
104,105614649
105,105915235
106,104949580
107,105836911
108,104266655
109,106052944
110,104916965
111,105963160
112,105339260
113,95528911
114,105334146
115,104844597
116,102240985
117,103998637
118,105678939
119,104657217
120,102241176
121,104657217
122,105478837
123,105564212
124,105183869
125,104095833
126,105926784
127,105208126
128,100723323
129,106061170
130,105873148
131,105879828
132,105961779
133,105599983
134,106032122
135,105236139
136,105566452
137,106031548
138,105369819
139,103784735
140,94063088
141,105639911
142,105745222
143,105735070
144,104220843
145,99755279
146,105839639
147,105980051
148,105964696
149,105943849
150,105943849
151,105380874
152,105461612
153,105366899
154,105754250
155,104764459
156,100335872
157,101651267
158,105324023
159,101134327
160,105915261
161,105106591
162,105451831
163,105170479
164,105970698
165,106084362
166,104837581
167,106095552
168,106090434
169,104501457
170,106081346
171,87961708
172,106081583
173,106094404
174,106091410
175,106089341
176,101466105
177,105992509
178,105997881
179,105838398
180,104830762
181,103792991
182,106080772
183,105904313
184,101474414
185,106093407
186,105686740
187,105358871
188,105394979
189,103305559
190,105728624
191,100636474
192,98268695
193,104974632
194,106078749
195,106098024
196,106077976
197,106063245
198,106061702
199,106031272
200,103321158
201,105005104
202,103769773
203,105007046
204,105367861
205,105005454
206,98268749
207,106041691
208,89104389
209,102984710
210,105519475
211,104417573
212,105735516
213,105608332
214,105880314
215,105108723
216,104851199
217,104347304
218,105937085
219,106024473
220,105284506
221,100949817
222,103282999
223,105156715
224,106044553
225,105294230
226,103802344
227,105741789
228,104924707
229,105134914
230,103700397
231,105342182
232,106035097
233,105616119
234,105883489
235,105657086
236,105892553
237,102782622
238,105224633
239,105883501
240,103518040
241,102782622
242,105961520
243,102704044
244,104699477
245,105745157
246,103422520
247,105446686
248,103754418
249,104969396
250,105991851
251,98211914
252,105998819
253,105704430
254,105998479
255,105225115
256,105615377
257,105228526
258,105420128
259,101379720
260,103652502
261,105297787
262,103541587
263,104321084
264,105409184
265,105937714
266,105274107
267,106039478
268,104780433
269,105225438
270,104780433
271,84157408
272,103946048
273,106054494
274,105999288
275,106025264
276,105801259
277,105223146
278,105110960
279,105691045
280,105909999
281,105078147
282,105060960
283,39387026
284,105074648
285,105601023
286,106041577
287,105204790
288,105250321
289,105659434
290,105644110
291,106041165
292,105740376
293,106045456
294,105511537
295,105136829
296,105992053
297,105988812
298,105851975
299,105259665
300,105988812
301,101749711
302,105887354
303,105835795
304,105908872
305,105943681
306,105619583
307,105972453
308,103865203
309,105500724
310,106015356
311,106000111
312,105572247
313,105059905
314,103656782
315,104304131
316,105451318
317,103210146
318,105068056
319,105991159
320,103405691
321,105094868
322,105236141
323,106011361
324,106008384
325,105398552
326,105478726
327,105969014
328,105586011
329,106035545
330,105398552
331,105435418
332,106035545
333,106005181
334,105969014
335,105478726
336,105586011
337,106004095
338,106007720
339,105959494
340,101905758
341,105523878
342,105300154
343,105999691
344,106054180
345,104321685
346,103478995
347,105990869
348,105682072
349,104392984
350,104150576
351,104980907
352,105452991
353,105769076
354,106027094
355,99263575
356,104664156
357,105435713
358,101424904
359,105969751
360,105909807
361,104664156
362,103698470
363,105353515
364,105969751
365,105314785
366,103847598
367,104924769
368,106040823
369,106038054
370,106040980
371,103925223
372,106041170
373,104513216
374,102060207
375,105913166
376,105381551
377,104354364
378,104347348
379,105871530
380,105650032
381,105397288
382,105310879
383,105549630
384,103431386
385,105767817
386,104631745
387,105019495
388,104308535
389,105543709
390,105543709
391,105892623
392,105624676
393,104308535
394,105895588
395,104815632
396,104305056
397,104950259
398,101478133
399,103527726
400,105658598
401,103746080
402,105369450
403,105980336
404,105928897
405,105448216
406,103103032
407,104010030
408,105048595
409,105997659
410,94192782
411,105652707
412,104764512
413,103694550
414,105469113
415,105845409
416,106016570
417,105204721
418,99196319
419,105745800
420,104627980
421,99080605
422,106034482
423,96728540
424,105658678
425,105511074
426,105674875
427,104961606
428,105895592
429,106027706
430,105172329
431,104576206
432,104509603
433,105835317
434,105836770
435,104963230
436,105738061
437,105573591
438,105301249
439,102722868
440,105278523
441,102942446
442,99784886
443,105564640
444,30566445
445,105812270
446,2034033
447,105644410
448,99621211
449,105843741
450,105187285
451,106093320
452,106094424
453,83767550
454,105398424
455,106077799
456,104326516
457,98792952
458,106090641
459,106091390
460,105965091
461,105100317
462,106088303
463,104973166
464,101282022
465,106082670
466,106075720
467,104202011
468,106057511
469,104250650
470,106081519
471,106093512
472,96334152
473,105770671
474,105218255
475,102825975
476,106093452
477,106085123
478,106097745
479,100973297
480,100973297
481,102420092
482,106079330
483,87309773
484,104349439
485,106093217
486,104479864
487,106084795
488,106082905
489,105495367
490,105446915
491,102548257
492,104008744
493,106082890
494,104374074
495,104371497
496,105425389
497,106009684
498,105960051
499,106093839
500,92189312
501,105676920
502,106078544
503,104487040
504,101800852
505,105203209
506,104344490
507,106075257
508,106075330
509,105033807
510,106079219
511,101800852
512,105500697
513,106078544
514,104362807
515,98778603
516,106092519
517,104364427
518,106091190
519,106080164
520,106095528
521,94826745
522,102877142
523,105937089
524,105309586
525,106076882
526,106094387
527,39332440
528,106091320
529,105568782
530,106041424
531,105463460
532,105189176
533,106080285
534,105273912
535,100344223
536,100344221
537,105890601
538,105770687
539,100344217
540,105770687
541,105931357
542,105879535
543,105936461
544,102767701
545,105027020
546,104400109
547,106091242
548,105624224
549,104400106
550,104400038
551,105235456
552,104842312
553,104580786
554,105439099
555,105762397
556,105743515
557,106085286
558,98778074
559,106086730
560,104422728
561,104361091
562,104867205
563,104422675
564,104422727
565,101782444
566,105676546
567,105033558
568,105033580
569,106021863
570,105033580
571,106090594
572,106090282
573,105473928
574,106039912
575,105713046
576,106069640
577,104802871
578,105674020
579,106079332
580,105963426
581,105971279
582,100877997
583,106035560
584,105308377
585,90343692
586,104904524
587,105873814
588,105967845
589,104904572
590,105970870
591,104904571
592,105219575
593,106000374
594,105876399
595,105898358
596,105848886
597,106085723
598,105886660
599,95420578
600,102951063
601,106070135
602,104262225
603,106035689
604,104921806
605,105540140
606,105979527
607,105341201
608,105333105
609,105386538
610,105973949
611,105529989
612,105840826
613,104088588
614,105995199
615,104525612
616,103573714
617,105045759
618,104357901
619,104525688
620,105045724
621,105045715
622,103413124
623,104572810
624,106041533
625,104351293
626,105914538
627,105409144
628,106000183
629,105838640
630,105409144
631,106059311
632,105989855
633,102948002
634,105838640
635,105962360
636,106053957
637,104746181
638,101869876
639,105598598
640,104680088
641,105083635
642,104949595
643,103475171
644,104167166
645,103664792
646,105439731
647,102977749
648,105965458
649,105512156
650,105453001
651,106058766
652,104772672
653,105511391
654,97417319
655,104963724
656,106027384
657,103271231
658,103731615
659,106023854
660,105997858
661,105903085
662,105903289
663,105598368
664,105998297
665,103271231
666,105627955
667,106027384
668,103731615
669,104472996
670,104791043
671,105889216
672,103416406
673,106030392
674,105912356
675,105931954
676,106054051
677,105832276
678,103488192
679,105997282
680,103006514
681,105227696
682,104093641
683,105375176
684,106010934
685,105741793
686,106013883
687,102741664
688,103684588
689,104438826
690,104971419
691,106010934
692,103684588
693,104233310
694,100450972
695,105802130
696,105262096
697,105967340
698,105549154
699,103443135
700,106071039
701,105403106
702,105041952
703,105780602
704,105891428
705,104303730
706,106041612
707,105567843
708,103585516
709,104884896
710,102552303
711,105935535
712,103822069
713,105452124
714,105329214
715,105839835
716,104284114
717,105700578
718,104071801
719,105656754
720,106034971
721,104983375
722,105213893
723,104368744
724,105511445
725,105310936
726,105992764
727,104049771
728,106011238
729,104763672
730,104498976
731,100551261
732,104440032
733,104175920
734,105997908
735,94212317
736,106061373
737,105321160
738,102920812
739,105604111
740,104909145
741,106041500
742,105597898
743,100223371
744,105700546
745,105207693
746,105664607
747,103857316
748,99598547
749,105938226
750,105911592
751,105597898
752,100223371
753,105700546
754,105664607
755,105938226
756,103832554
757,105803958
758,105956182
759,101548114
760,106044169
761,104254316
762,105380400
763,104154601
764,105067011
765,99933468
766,105846325
767,105951189
768,104699861
769,104207913
770,105924725
771,88431685
772,105850911
773,105731667
774,100454819
775,100268429
776,104648203
777,105589191
778,106043559
779,105976737
780,101180948
781,105976737
782,105784111
783,106056901
784,106055058
785,106042354
786,102001387
787,105974613
788,104951271
789,105975210
790,105828832
791,106055361
792,105048983
793,94889862
794,105543093
795,103784603
796,105395837
797,95924087
798,105997215
799,104369304
800,105414153
801,104848796
802,84040244
803,106056363
804,105403837
805,106000924
806,103417145
807,104774121
808,105127049
809,105861670
810,105975210
811,105127049
812,105495878
813,106021641
814,104324863
815,104400058
816,97673591
817,105866700
818,27006612
819,103943423
820,106045833
821,104633615
822,103846793
823,105308724
824,105473879
825,105931642
826,106018956
827,105957609
828,105532078
829,105786275
830,104904600
831,106071313
832,105999261
833,105981612
834,104874488
835,102602994
836,106038669
837,105496633
838,104902142
839,103690777
840,105671529
841,103690777
842,105501933
843,104957506
844,104902142
845,105846298
846,106014657
847,103864410
848,103814197
849,105243242
850,105782203
851,105652215
852,105629173
853,105437594
854,100903403
855,105631754
856,104443786
857,102769568
858,104714517
859,105561488
860,105579824
861,104911242
862,105977803
863,105613479
864,103027135
865,105061259
866,104074547
867,100686744
868,106003383
869,105587971
870,105613479
871,104911242
872,102062171
873,104074547
874,105061259
875,105488191
876,104911345
877,105079566
878,106028805
879,106000845
880,105046329
881,105837954
882,104301471
883,105981113
884,105533867
885,104944168
886,106024778
887,103773450
888,103553189
889,105958965
890,105448780
891,105186163
892,104342534
893,104485532
894,104589902
895,103447198
896,106041164
897,103871953
898,105911088
899,105306821
900,105714514
901,105911088
902,106003851
903,103871953
904,105716148
905,105205744
906,103873268
907,105916630
908,105670439
909,106010005
910,105329600
911,103538298
912,106054788
913,104269845
914,106047739
915,105939351
916,103919795
917,101497078
918,105929937
919,105924773
920,105839596
921,105619940
922,92613373
923,104932698
924,92613368
925,106024100
926,105744006
927,104416955
928,105307515
929,103286056
930,104932698
931,105929643
932,105307515
933,103286056
934,105169840
935,105557798
936,105404204
937,105087475
938,105522101
939,105253624
940,104158182
941,105625082
942,103307545
943,105961961
944,104878335
945,105604812
946,105530827
947,105463409
948,101394903
949,105123796
950,105321152
951,102290858
952,102607645
953,101940396
954,101127383
955,99644052
956,101939714
957,104815369
958,105224700
959,106016486
960,103991092
961,106016486
962,102290858
963,104300377
964,102607645
965,101940416
966,105992371
967,105051882
968,104569115
969,101240861
970,105537014
971,105509190
972,104723493
973,104155581
974,105026170
975,105916645
976,104886478
977,105929211
978,104989531
979,104539294
980,105924896
981,105169362
982,105899934
983,100135065
984,105845219
985,102982075
986,105076495
987,101130770
988,105994244
989,105523425
990,104353052
991,105523425
992,105184027
993,104693062
994,103909242
995,104368195
996,105069947
997,105994244
998,104411287
999,38196202
1000,105902310
1001,103838048
1002,100226727
1003,99569660
1004,105473864
1005,106008892
1006,104697270
1007,105932985
1008,106050544
1009,104386068
1010,105125918
1011,103536936
1012,103786779
1013,105435623
1014,104622580
1015,104679530
1016,104650402
1017,104609901
1018,105477821
1019,104576764
1020,104581766
1021,104565475
1022,104645128
1023,104578628
1024,104632373
1025,104643761
1026,104663499
1027,104570341
1028,105850765
1029,104568996
1030,104679530
1031,104649657
1032,104607460
1033,104581294
1034,101859258
1035,104609901
1036,104557824
1037,105477821
1038,104622580
1039,104650402
1040,103317789
1041,104576764
1042,104632215
1043,105645940
1044,104138860
1045,106048059
1046,105366267
1047,105631218
1048,104575227
1049,105903211
1050,105366267
1051,93614938
1052,104996816
1053,104575227
1054,95947612
1055,103916592
1056,105971267
1057,105981195
1058,103541530
1059,102549578
1060,105631184
1061,105346802
1062,105573815
1063,106029796
1064,105981145
1065,101084111
1066,104613423
1067,105172804
1068,105402201
1069,327381
1070,106016417
1071,99957776
1072,106033326
1073,100320357
1074,103915533
1075,105913084
1076,105911110
1077,105632233
1078,100834326
1079,104917734
1080,105488276
1081,105863881
1082,101601210
1083,104917734
1084,105913084
1085,105262844
1086,105963108
1087,101283328
1088,106027397
1089,103402599
1090,105994044
1091,103286058
1092,105909817
1093,106008051
1094,105910662
1095,105306480
1096,103408356
1097,102590934
1098,104630872
1099,105874792
1100,104826415
1101,104637799
1102,105006308
1103,105030845
1104,105052261
1105,105967281
1106,105109113
1107,105594944
1108,105612968
1109,103987067
1110,105006308
1111,105967334
1112,101421833
1113,101939289
