,id
0,103305568
1,102771649
2,103739782
3,105814537
4,103362877
5,104767092
6,104681481
7,105975893
8,105472252
9,105495002
10,104417250
11,103614322
12,100206749
13,102797403
14,104852492
15,104849720
16,104877770
17,105147475
18,105107755
19,103258040
20,104744247
21,105425527
22,105404692
23,102732271
24,104648836
25,104680716
26,105976322
27,104919721
28,104533323
29,102983602
30,105879653
31,104479041
32,105097292
33,103898153
34,104413255
35,104416944
36,100795049
37,105219919
38,105534264
39,105581104
40,103710364
41,105580372
42,104596871
43,105035037
44,105908870
45,105395911
46,104851466
47,104771022
48,104012569
49,105266757
50,105036282
51,103437385
52,106079394
53,105714461
54,105033389
55,103447290
56,104221681
57,105538284
58,105386757
59,104896289
60,105244051
61,104962167
62,103139261
63,105115159
64,104881106
65,104528708
66,101170776
67,105862403
68,101170771
69,105245950
70,104990368
71,101497049
72,104871295
73,104686325
74,103515080
75,104535548
76,105768256
77,105524784
78,105092274
79,99799824
80,102581368
81,88820231
82,104949730
83,101164322
84,105907186
85,103516759
86,105338844
87,102053570
88,104705532
89,105405206
90,102719165
91,105559224
92,105265654
93,102603161
94,102312407
95,105515026
96,105227743
97,105576378
98,105639270
99,102223232
100,105309126
101,104974957
102,104688292
103,102976877
104,105236775
105,104837457
106,104673464
107,105564711
108,105768225
109,105054981
110,105066022
111,105518897
112,98892155
113,101959434
114,106103037
115,104539207
116,105820074
117,103276406
118,101472217
119,104695323
120,104787611
121,103925154
122,103158036
123,104348524
124,100814756
125,105910823
126,105500496
127,105359784
128,95517918
129,105322170
130,105464722
131,105133337
132,105447880
133,105082989
134,105060464
135,105236320
136,104769740
137,104649629
138,105322721
139,104384947
140,105046611
141,100453903
142,103213041
143,105534314
144,106001779
145,104047024
146,104908970
147,105518898
148,105511136
149,104998516
150,100491848
151,103952741
152,106121538
153,96978808
154,104050541
155,103294347
156,105589936
157,103989417
158,104879242
159,104609264
160,105279387
161,105491783
162,105574369
163,104981438
164,103408419
165,104486547
166,105266724
167,103150583
168,105383529
169,103898736
170,104038283
171,105015543
172,105015680
173,105200359
174,106037089
175,90966980
176,105021788
177,100414469
178,105366761
179,104579047
180,103043248
181,101731983
182,106004157
183,106042533
184,106023485
185,106031507
186,106042526
187,101209919
188,106079797
189,105595747
190,105158556
191,104917594
192,101434891
193,96739805
194,102692446
195,105353279
196,103959023
197,104896237
198,103287244
199,104803094
200,105316276
201,104639485
202,104136782
203,101042010
204,105541232
205,87334971
206,105615961
207,104876026
208,105132312
209,104899104
210,104899104
211,104601814
212,105572666
213,105572657
214,105468490
215,104648163
216,105987891
217,105598414
218,105968881
219,104429398
220,103448030
221,105595480
222,104082080
223,103717137
224,106030095
225,105953187
226,106036624
227,104442689
228,106036623
229,103725225
230,105683289
231,93916685
232,105678918
233,105276110
234,105372416
235,82008770
236,91648408
237,93290394
238,104746933
239,105106839
240,105106839
241,104790807
242,104975723
243,104982334
244,105863137
245,105231475
246,106079658
247,106053955
248,106082837
249,105490176
250,105681952
251,98693661
252,103635007
253,100915928
254,104669663
255,105391130
256,82606945
257,105709722
258,105547171
259,106082256
260,102830490
261,102627823
262,104897815
263,104427830
264,104168407
265,103876731
266,104130418
267,106036962
268,106059579
269,105056334
270,105056334
271,105478051
272,102195148
273,105397802
274,99820267
275,105643004
276,105161458
277,89131054
278,105936060
279,105240469
280,105124146
281,104951040
282,105233305
283,106018218
284,101984466
285,105672266
286,103241480
287,104763499
288,101210846
289,105108104
290,106043113
291,105862190
292,98060808
293,106007565
294,105902184
295,104136571
296,105853080
297,105516964
298,104184243
299,96332155
300,103619152
301,105171316
302,105829006
303,98269532
304,105233231
305,105502283
306,105060693
307,105490452
308,103521722
309,104285363
310,106078435
311,105259177
312,101210951
313,105381068
314,104509888
315,81535683
316,104595910
317,105399853
318,105103522
319,105299045
320,105889793
321,105619990
322,103817478
323,100846299
324,104981867
325,104753615
326,105599164
327,105819133
328,105278442
329,104799461
330,104556449
331,105819133
332,103948048
333,105945439
334,104570411
335,106110070
336,105722652
337,105494461
338,105901920
339,106010135
340,105693891
341,105899684
342,103137827
343,103830648
344,104861334
345,105035966
346,104956876
347,105153338
348,104849348
349,105831441
350,103606891
351,105878653
352,104654818
353,103137795
354,105871499
355,103810157
356,104757704
357,101853280
358,101232120
359,104216839
360,104109190
361,105862504
362,104606579
363,102999387
364,28871105
365,106004973
366,105982238
367,105067078
368,105244479
369,104902145
370,105157892
371,105944443
372,105314386
373,105499948
374,104496685
375,105501089
376,105522832
377,91445863
378,105267267
379,105423031
380,105360908
381,105515444
382,106021660
383,103920671
384,105653595
385,105637527
386,105386540
387,105633185
388,105356318
389,105369324
390,96863550
391,101437424
392,104680023
393,104706031
394,105178605
395,105222491
396,103484255
397,103177195
398,102135851
399,90310503
400,36369350
401,101230243
402,105763542
403,101254773
404,105437227
405,103030292
406,102008225
407,104731007
408,85617774
409,105543543
410,102544687
411,105308825
412,101551324
413,99775526
414,105008825
415,103368494
416,105437601
417,103884663
418,104692139
419,106118461
420,104851242
421,106126510
422,104909731
423,103713739
424,33932885
425,104402071
426,106122057
427,104488399
428,105476397
429,89312621
430,105657964
431,106117196
432,102988077
433,101577873
434,104961844
435,104912095
436,104770146
437,99462979
438,101308853
439,98268685
440,101994283
441,100508876
442,103680410
443,103840984
444,102960236
445,105082864
446,100905542
447,103181945
448,105524898
449,106045352
450,106079711
451,104960862
452,104899650
453,105815772
454,104622192
455,103846060
456,104720037
457,104742947
458,101878409
459,105550314
460,104544929
461,104639069
462,105386958
463,104908527
464,105034097
465,106112429
466,102904969
467,103180917
468,100706170
469,101286302
470,103026648
471,103031742
472,105499259
473,106092735
474,104882496
475,106077456
476,105681769
477,103042791
478,103684557
479,103466282
480,106082809
481,106089331
482,103925626
483,104972381
484,106106173
485,89957458
486,105233223
487,100480510
488,105192692
489,105128716
490,105909167
491,104964371
492,105919520
493,105527030
494,105167763
495,105326635
496,104909918
497,104909931
498,105067184
499,104909339
500,104876961
501,105033920
502,104876376
503,105089933
504,105330374
505,105137080
506,103591524
507,105799110
508,104399761
509,105492726
510,103962369
511,105105286
512,103737928
513,105882008
514,102928432
515,106112047
516,105844378
517,105900232
518,105964505
519,104676155
520,105399219
521,105906640
522,105299651
523,105913302
524,105473619
525,105761490
526,103231800
527,106096946
528,105887801
529,105046538
530,105095538
531,105147212
532,104161853
533,101724475
534,105820039
535,99022981
536,105819145
537,103710057
538,106076853
539,103315376
540,105819145
541,104944858
542,104597643
543,105974558
544,105600836
545,104321025
546,105873088
547,105965601
548,105188281
549,104273070
550,34234916
551,105892357
552,104104647
553,105880743
554,106088829
555,105355664
556,103727664
557,105061222
558,104437790
559,105260374
560,102773507
561,106044527
562,103555378
563,105055553
564,104898006
565,102149072
566,105090044
567,105492347
568,103461663
569,105298107
570,105523627
571,106074564
572,106083027
573,105421391
574,104219926
575,103245408
576,104855068
577,105828689
578,103546589
579,101733240
580,105940441
581,103800332
582,105118938
583,104733105
584,105374927
585,105592777
586,103927491
587,104919394
588,105662853
589,104990109
590,105131329
591,105126319
592,105833243
593,99585516
594,105155638
595,104771874
596,106002690
597,100877477
598,106025521
599,105537702
600,104761016
601,104113011
602,105173342
603,105149381
604,105537702
605,105848651
606,99826749
607,105659585
608,105506766
609,105109783
610,105060019
611,105038127
612,105747017
613,106019392
614,105902839
615,105194330
616,106022900
617,104641297
618,104302030
619,94457998
620,103126306
621,104188568
622,105777793
623,106079130
624,91965832
625,105295801
626,105187921
627,105553781
628,105693800
629,105060385
630,105693800
631,106109937
632,105523861
633,103827186
634,105519503
635,105539945
636,105935732
637,105687674
638,99123182
639,105903520
640,103880437
641,105976022
642,103426615
643,104879897
644,102676101
645,105173419
646,105444143
647,105906281
648,106111090
649,105587433
650,106037146
651,105527924
652,97587269
653,105432770
654,105465311
655,105180236
656,105529115
657,104973848
658,105968554
659,106023276
660,99154017
661,104772931
662,105968554
663,104084510
664,104234781
665,104885224
666,104966813
667,104714783
668,105469522
669,102285492
670,104910438
671,105115348
672,104972020
673,104873258
674,101455388
675,103704269
676,106072090
677,105435887
678,105463941
679,98720962
680,105490353
681,81486351
682,94761154
683,105120482
684,101767940
685,103936904
686,105957219
687,105890389
688,104513401
689,103827223
690,105437713
691,104503490
692,103827223
693,104950207
694,98964029
695,103165755
696,105237163
697,103433568
698,103245702
699,105352835
700,103939182
701,103726750
702,106059021
703,105893207
704,102342201
705,105501307
706,105976180
707,104875778
708,105932922
709,105142893
710,105969751
711,98572671
712,104717004
713,105943525
714,101357553
715,105454701
716,105995312
717,105448504
718,105059976
719,105166248
720,101438723
721,104393886
722,99409761
723,105936190
724,104944651
725,105124218
726,105624380
727,105903417
728,105908894
729,104696490
730,105132683
731,105581107
732,101237018
733,105919581
734,105452191
735,105942449
736,94410044
737,102753156
738,105932353
739,103832648
740,104772299
741,105940478
742,105234391
743,103148875
744,103261938
745,105973637
746,105993019
747,105281349
748,105081539
749,105114523
750,105114523
751,101131959
752,105834211
753,105721991
754,103857002
755,105397985
756,105368270
757,96108903
758,105522620
759,105382989
760,99972741
761,99456849
762,103272513
763,105370983
764,105363028
765,81486361
766,104123679
767,105992521
768,104385781
769,106038163
770,106016753
771,105087915
772,105967345
773,105254103
774,105564325
775,105270700
776,105875690
777,105051018
778,106078510
779,106012545
780,106060095
781,105521704
782,103385026
783,105879469
784,103478038
785,105620076
786,99581952
787,99088478
788,104600313
789,103621825
790,99611861
791,105313398
792,104993339
793,102572556
794,105966243
795,104314379
796,84998475
797,104314624
798,104767857
799,102355604
800,103964496
801,104136787
802,106118426
803,102886389
804,105813793
805,104916503
806,105618930
807,105650774
808,106125107
809,99793672
810,99793672
811,104484188
812,104222166
813,106124657
814,106126120
815,106016222
816,103733107
817,105210538
818,106106766
819,106125968
820,105261381
821,103695455
822,104341937
823,102073148
824,106119580
825,103502818
826,106017704
827,106102834
828,102184316
829,103165208
830,105189637
831,103375253
832,103983877
833,96285378
834,94484036
835,105229591
836,102227080
837,106126190
838,102227082
839,102227103
840,103960342
841,106124374
842,102923103
843,105030492
844,104446002
845,105247925
846,106105790
847,101474907
848,103132429
849,104550998
850,106034127
851,105977412
852,106016073
853,96477428
854,95155186
855,102991528
856,27869059
857,104920123
858,94772376
859,106126617
860,104042581
861,104202046
862,98032866
863,94583021
864,106092040
865,105090724
866,106123466
867,98150711
868,99801861
869,95202109
870,105337160
871,104139808
872,105204518
873,106086671
874,105119104
875,104876316
876,105594555
877,102455455
878,103017846
879,104104655
880,102986152
881,104899590
882,101187179
883,102023164
884,102112556
885,93436649
886,104483424
887,105104229
888,104768672
889,97670667
890,105370840
891,103410469
892,104168550
893,105370847
894,105104203
895,102734238
896,105558082
897,104714800
898,100837841
899,103324302
900,105104203
901,104714800
902,104768672
903,98928508
904,105526972
905,106125998
906,103846169
907,105503347
908,105227772
909,103033380
910,106124120
911,104161557
912,106106956
913,106100698
914,105432385
915,105352398
916,100815675
917,102088986
918,101228020
919,103807394
920,105483880
921,105532597
922,40516870
923,101240514
924,106105782
925,105684973
926,104879590
927,104008595
928,105922247
929,105168891
930,105879302
931,105908559
932,106096667
933,106074418
934,106094845
935,105316463
936,105991472
937,105126046
938,105047820
939,105843179
940,105509196
941,103726776
942,105490364
943,105579061
944,104904674
945,106109814
946,103934751
947,106109855
948,104692103
949,104692085
950,105843071
951,106085007
952,104840819
953,40103121
954,104691994
955,106101886
956,105600756
957,99829303
958,105865034
959,95211076
960,105865034
961,106079186
962,99829303
963,105397600
964,95211076
965,105964787
966,106079191
967,105906297
968,105370734
969,105241424
970,105370827
971,105370727
972,105370876
973,105195355
974,105370702
975,105038108
976,105370751
977,102747822
978,105912210
979,106008089
980,104899454
981,106029907
982,105508965
983,105878946
984,105444823
985,102544772
986,105371016
987,100508044
988,103549066
989,105972043
990,100508044
991,105841307
992,105371016
993,103549054
994,102322158
995,103549055
996,105819467
997,103549066
998,103549058
999,105972043
1000,105960553
1001,103800216
1002,97053034
1003,105880434
1004,105433832
1005,36707198
1006,106034844
1007,104100472
1008,103856213
1009,106102089
1010,106075224
1011,105897919
1012,105975946
1013,105551695
1014,105888687
1015,105426869
1016,104898789
1017,102856717
1018,105526095
1019,105490040
1020,104877847
1021,98801232
1022,105116317
1023,105509842
1024,102889522
1025,101189958
1026,101357300
1027,105117894
1028,105053075
1029,105885699
1030,106121722
1031,105804728
1032,105199985
1033,102538144
1034,104880497
1035,104760385
1036,103638025
1037,105857937
1038,105156812
1039,105867650
1040,105601788
1041,96522472
1042,103151195
1043,103285765
1044,102497962
1045,100405197
1046,105201164
1047,104418063
1048,105410648
1049,105938285
1050,100405197
1051,103840682
1052,105804728
1053,105027185
1054,104831677
1055,105559144
1056,102571264
1057,103810214
1058,105835436
1059,103392630
1060,105342349
1061,101631131
1062,105380130
1063,104488957
1064,105611059
1065,103873336
1066,105379845
1067,105048039
1068,105548057
1069,105395617
1070,104419821
1071,105574223
1072,104908209
1073,106108435
1074,104921107
1075,105881191
1076,106051353
1077,85594788
1078,106015443
1079,104392669
1080,105118944
1081,106108435
1082,105794179
1083,104908209
1084,105438925
1085,105925605
1086,106051353
1087,104882506
1088,106012858
1089,104975112
1090,106095340
1091,104869651
1092,105993226
1093,105534524
1094,105524239
1095,104905538
1096,106053722
1097,104899485
1098,105527210
1099,104895785
1100,105645873
1101,104917058
1102,106100322
1103,104674768
1104,105033529
1105,105107499
1106,106050754
1107,98116963
1108,105140268
1109,105312990
1110,105634725
1111,105983717
1112,104383321
1113,102775784
1114,105716441
1115,105601939
1116,105696473
1117,105592621
1118,105634705
1119,104396513
1120,101163351
1121,105343127
1122,105089863
1123,105634726
1124,105867750
1125,102410180
1126,105169892
1127,103839798
1128,105120643
1129,104950696
1130,105831477
1131,105529514
1132,105893186
1133,103697280
1134,106016599
1135,104824963
1136,105964779
1137,105945817
1138,105526628
1139,99844831
1140,104824963
1141,103138062
1142,106096715
1143,104902114
1144,105085867
1145,106102757
1146,102146206
1147,106030343
1148,104450050
1149,105941344
1150,105944063
1151,105933914
1152,104230933
1153,106083937
1154,105783492
1155,106109697
1156,104606794
1157,104230768
1158,105234168
1159,105068070
1160,102593618
1161,105940889
1162,105506752
1163,104063030
1164,104718490
1165,105600050
1166,106071311
1167,105957504
1168,104984741
1169,103220659
1170,105428247
1171,105518667
1172,88476217
1173,103220659
1174,105945383
1175,105940889
1176,104063030
1177,102593618
